地區名稱,指標名稱,年份,數值
阿拉伯世界,農業增加值(佔GDP百分比),1962,0.0
阿拉伯世界,二氧化碳排放量(每人公噸),1962,0.760995978569
阿拉伯世界,金融部門提供之國內信貸(佔GDP百分比),1962,18.1686895397
阿拉伯世界,電力消耗(每人千瓦時),1962,0.0
阿拉伯世界,能源使用量(每人石油當量公斤),1962,0.0
阿拉伯世界,商品與服務出口(佔GDP百分比),1962,0.0
阿拉伯世界,總生育率(每名婦女生育數),1962,6.96445371647
阿拉伯世界,GDP成長率(年增率%),1962,0.0
阿拉伯世界,商品與服務進口(佔GDP百分比),1962,0.0
阿拉伯世界,工業增加值(佔GDP百分比),1962,0.0
阿拉伯世界,通貨膨脹率-GDP平減指數(年增率%),1962,0.0
阿拉伯世界,出生時預期壽命(歲),1962,48.008602901
阿拉伯世界,人口密度(每平方公里人數),1962,7.1684738533
阿拉伯世界,服務業等增加值(佔GDP百分比),1962,0.0
加勒比海小型國家,農業增加值(佔GDP百分比),1962,0.0
加勒比海小型國家,二氧化碳排放量(每人公噸),1962,2.7038747574299995
加勒比海小型國家,金融部門提供之國內信貸(佔GDP百分比),1962,15.054971343900002
加勒比海小型國家,電力消耗(每人千瓦時),1962,0.0
加勒比海小型國家,能源使用量(每人石油當量公斤),1962,0.0
加勒比海小型國家,商品與服務出口(佔GDP百分比),1962,53.2858805437
加勒比海小型國家,總生育率(每名婦女生育數),1962,5.52302044416
加勒比海小型國家,GDP成長率(年增率%),1962,0.0
加勒比海小型國家,商品與服務進口(佔GDP百分比),1962,53.5410416247
加勒比海小型國家,工業增加值(佔GDP百分比),1962,0.0
加勒比海小型國家,通貨膨脹率-GDP平減指數(年增率%),1962,0.0
加勒比海小型國家,出生時預期壽命(歲),1962,63.27171776229999
加勒比海小型國家,人口密度(每平方公里人數),1962,10.7612722332
加勒比海小型國家,服務業等增加值(佔GDP百分比),1962,0.0
中歐與波羅的海地區,農業增加值(佔GDP百分比),1962,0.0
中歐與波羅的海地區,二氧化碳排放量(每人公噸),1962,5.67398699024
中歐與波羅的海地區,金融部門提供之國內信貸(佔GDP百分比),1962,0.0
中歐與波羅的海地區,電力消耗(每人千瓦時),1962,0.0
中歐與波羅的海地區,能源使用量(每人石油當量公斤),1962,0.0
中歐與波羅的海地區,商品與服務出口(佔GDP百分比),1962,0.0
中歐與波羅的海地區,總生育率(每名婦女生育數),1962,2.31137778329
中歐與波羅的海地區,GDP成長率(年增率%),1962,0.0
中歐與波羅的海地區,商品與服務進口(佔GDP百分比),1962,0.0
中歐與波羅的海地區,工業增加值(佔GDP百分比),1962,0.0
中歐與波羅的海地區,通貨膨脹率-GDP平減指數(年增率%),1962,0.0
中歐與波羅的海地區,出生時預期壽命(歲),1962,68.0077933168
中歐與波羅的海地區,人口密度(每平方公里人數),1962,84.1028476463
中歐與波羅的海地區,服務業等增加值(佔GDP百分比),1962,0.0
